--A5CBF3ABBB21A68A500F9EF137F51D72
Content-Disposition: form-data; name="activation-info"

<dict>
	<key>ActivationInfoXML</key>
	<data>
	PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz4KPCFET0NUWVBFIHBs
	aXN0IFBVQkxJQyAiLS8vQXBwbGUvL0RURCBQTElTVCAxLjAvL0VOIiAiaHR0cDovL3d3
	dy5hcHBsZS5jb20vRFREcy9Qcm9wZXJ0eUxpc3QtMS4wLmR0ZCI+CjxwbGlzdCB2ZXJz
	aW9uPSIxLjAiPgo8ZGljdD4KCTxrZXk+QWN0aXZhdGlvblJlcXVlc3RJbmZvPC9rZXk+
	Cgk8ZGljdD4KCQk8a2V5PkFjdGl2YXRpb25SYW5kb21uZXNzPC9rZXk+CgkJPHN0cmlu
	Zz4xNjQ0N0E4NS1CQ0U1LTRERjgtODExMi1DQ0Q1NDMxRDYzNTI8L3N0cmluZz4KCQk8
	a2V5PkFjdGl2YXRpb25TdGF0ZTwva2V5PgoJCTxzdHJpbmc+VW5hY3RpdmF0ZWQ8L3N0
	cmluZz4KCQk8a2V5PkZNaVBBY2NvdW50RXhpc3RzPC9rZXk+CgkJPHRydWUvPgoJPC9k
	aWN0PgoJPGtleT5CYXNlYmFuZFJlcXVlc3RJbmZvPC9rZXk+Cgk8ZGljdD4KCQk8a2V5
	PkFjdGl2YXRpb25SZXF1aXJlc0FjdGl2YXRpb25UaWNrZXQ8L2tleT4KCQk8dHJ1ZS8+
	CgkJPGtleT5CYXNlYmFuZEFjdGl2YXRpb25UaWNrZXRWZXJzaW9uPC9rZXk+CgkJPHN0
	cmluZz5WMjwvc3RyaW5nPgoJCTxrZXk+QmFzZWJhbmRDaGlwSUQ8L2tleT4KCQk8aW50
	ZWdlcj45NjwvaW50ZWdlcj4KCQk8a2V5PkJhc2ViYW5kTWFzdGVyS2V5SGFzaDwva2V5
	PgoJCTxzdHJpbmc+OENCMTVFRTRDODAwMjE5OTA3MEQ5NTAwQkI4RkIxODNCMDI3MTNB
	NUNBMkE2QjkyREI1RTc1Q0UxNTUzNjE4Mjwvc3RyaW5nPgoJCTxrZXk+QmFzZWJhbmRT
	ZXJpYWxOdW1iZXI8L2tleT4KCQk8ZGF0YT4KCQlrMEVBNlRFQXRQTjRFMXVtCgkJPC9k
	YXRhPgoJCTxrZXk+R0lEMTwva2V5PgoJCTxzdHJpbmc+ZmY8L3N0cmluZz4KCQk8a2V5
	PkdJRDI8L2tleT4KCQk8c3RyaW5nPmZmPC9zdHJpbmc+CgkJPGtleT5JbnRlZ3JhdGVk
	Q2lyY3VpdENhcmRJZGVudGl0eTwva2V5PgoJCTxzdHJpbmc+ODk5MzQ2MDAwMDAwMDQw
	Mjc4MjU8L3N0cmluZz4KCQk8a2V5PkludGVybmF0aW9uYWxNb2JpbGVFcXVpcG1lbnRJ
	ZGVudGl0eTwva2V5PgoJCTxzdHJpbmc+MzU1MzI0MDg3ODI2NDIxPC9zdHJpbmc+CgkJ
	PGtleT5JbnRlcm5hdGlvbmFsTW9iaWxlU3Vic2NyaWJlcklkZW50aXR5PC9rZXk+CgkJ
	PHN0cmluZz42NTUwMTkzNDY0MDI3ODI8L3N0cmluZz4KCQk8a2V5PkludGVybmF0aW9u
	YWxNb2JpbGVTdWJzY3JpYmVySWRlbnRpdHlPdmVycmlkZTwva2V5PgoJCTxmYWxzZS8+
	CgkJPGtleT5QUklWZXJzaW9uX01ham9yPC9rZXk+CgkJPGludGVnZXI+MDwvaW50ZWdl
	cj4KCQk8a2V5PlBSSVZlcnNpb25fTWlub3I8L2tleT4KCQk8aW50ZWdlcj4wPC9pbnRl
	Z2VyPgoJCTxrZXk+UFJJVmVyc2lvbl9SZWxlYXNlTm88L2tleT4KCQk8aW50ZWdlcj4x
	PC9pbnRlZ2VyPgoJCTxrZXk+UGhvbmVOdW1iZXI8L2tleT4KCQk8c3RyaW5nPisyNzc5
