--4A6BCE41E48D9AC90C5064C02308EA9B
Content-Disposition: form-data; name="activation-info"

<dict>
	<key>ActivationInfoXML</key>
	<data>
	PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz4KPCFET0NUWVBFIHBs
	aXN0IFBVQkxJQyAiLS8vQXBwbGUvL0RURCBQTElTVCAxLjAvL0VOIiAiaHR0cDovL3d3
	dy5hcHBsZS5jb20vRFREcy9Qcm9wZXJ0eUxpc3QtMS4wLmR0ZCI+CjxwbGlzdCB2ZXJz
	aW9uPSIxLjAiPgo8ZGljdD4KCTxrZXk+QWN0aXZhdGlvblJlcXVlc3RJbmZvPC9rZXk+
	Cgk8ZGljdD4KCQk8a2V5PkFjdGl2YXRpb25SYW5kb21uZXNzPC9rZXk+CgkJPHN0cmlu
	Zz5FOUNFRUQ1MS02MEQ3LTQ1MzEtQkU3My1CQzA3NTZEM0NDNkE8L3N0cmluZz4KCQk8
	a2V5PkFjdGl2YXRpb25TdGF0ZTwva2V5PgoJCTxzdHJpbmc+QWN0aXZhdGVkPC9zdHJp
	bmc+CgkJPGtleT5GTWlQQWNjb3VudEV4aXN0czwva2V5PgoJCTx0cnVlLz4KCTwvZGlj
	dD4KCTxrZXk+QmFzZWJhbmRSZXF1ZXN0SW5mbzwva2V5PgoJPGRpY3Q+CgkJPGtleT5B
	Y3RpdmF0aW9uUmVxdWlyZXNBY3RpdmF0aW9uVGlja2V0PC9rZXk+CgkJPHRydWUvPgoJ
	CTxrZXk+QmFzZWJhbmRBY3RpdmF0aW9uVGlja2V0VmVyc2lvbjwva2V5PgoJCTxzdHJp
	bmc+VjI8L3N0cmluZz4KCQk8a2V5PkJhc2ViYW5kQ2hpcElEPC9rZXk+CgkJPGludGVn
	ZXI+OTY8L2ludGVnZXI+CgkJPGtleT5CYXNlYmFuZE1hc3RlcktleUhhc2g8L2tleT4K
	CQk8c3RyaW5nPjhDQjE1RUU0QzgwMDIxOTkwNzBEOTUwMEJCOEZCMTgzQjAyNzEzQTVD
	QTJBNkI5MkRCNUU3NUNFMTU1MzYxODI8L3N0cmluZz4KCQk8a2V5PkJhc2ViYW5kU2Vy
	aWFsTnVtYmVyPC9rZXk+CgkJPGRhdGE+CgkJazBFQTZURUF0UE40RTF1bQoJCTwvZGF0
	YT4KCQk8a2V5PkdJRDE8L2tleT4KCQk8c3RyaW5nPmZmPC9zdHJpbmc+CgkJPGtleT5H
	SUQyPC9rZXk+CgkJPHN0cmluZz5mZjwvc3RyaW5nPgoJCTxrZXk+SW50ZWdyYXRlZENp
	cmN1aXRDYXJkSWRlbnRpdHk8L2tleT4KCQk8c3RyaW5nPjg5OTM0NjAwMDAwMDA0MDI3
	ODI1PC9zdHJpbmc+CgkJPGtleT5JbnRlcm5hdGlvbmFsTW9iaWxlRXF1aXBtZW50SWRl
	bnRpdHk8L2tleT4KCQk8c3RyaW5nPjM1NTMyNDA4NzgyNjQyMTwvc3RyaW5nPgoJCTxr
	ZXk+SW50ZXJuYXRpb25hbE1vYmlsZVN1YnNjcmliZXJJZGVudGl0eTwva2V5PgoJCTxz
	dHJpbmc+NjU1MDE5MzQ2NDAyNzgyPC9zdHJpbmc+CgkJPGtleT5JbnRlcm5hdGlvbmFs
	TW9iaWxlU3Vic2NyaWJlcklkZW50aXR5T3ZlcnJpZGU8L2tleT4KCQk8ZmFsc2UvPgoJ
	CTxrZXk+UFJJVmVyc2lvbl9NYWpvcjwva2V5PgoJCTxpbnRlZ2VyPjA8L2ludGVnZXI+
	CgkJPGtleT5QUklWZXJzaW9uX01pbm9yPC9rZXk+CgkJPGludGVnZXI+MDwvaW50ZWdl
	cj4KCQk8a2V5PlBSSVZlcnNpb25fUmVsZWFzZU5vPC9rZXk+CgkJPGludGVnZXI+MTwv
	aW50ZWdlcj4KCQk8a2V5PlBob25lTnVtYmVyPC9rZXk+CgkJPHN0cmluZz4rMjc3OTkw
